Fund Code,Receivership,Year,Quarter,Failure Date,Cash and Investments,Total Assets,Administrative Liabilities,FDIC Subrogated Deposit Claim,Other Claimant Liabilities,Net Worth (Deficit),Total Liabilities and Net Worth,FDIC Subrogated Claim,FDIC Subrogated Claim %,Subtotal - Proven Deposit Claims,Subtotal - Proven Deposit Claims %,Dividends Paid to Date,Dividends Paid to Date %,Total Unpaid Deposit Claims,Total Unpaid Deposit Claims %,General Creditor,General Creditor %,Subtotal- Other Claimants,Subtotal- Other Claimants %,Total Unpaid Other Claimants,Total Unpaid Other Claimants %
10050,NEW FRONTIER BANK,2023,Q1,04-10-2009,2023.0,2023.0,2.0,433785.5,3034.0,-517456.25,2023.0,1446461,100,1450011.0,100,532257.0,37.0,433786.875,63.0,3034.0,100,3034.0,100,3034.0,100
10488,FIRST NATIONAL BANK,2023,Q1,9/13/2013,1160.0,1164.0,41.0,433785.5,6543.0,-517456.25,1164.0,2217045,100,2217045.0,100,1599679.0,72.0,433786.875,28.0,6543.0,100,6543.0,100,6543.0,100
10008,FIRST NATIONAL BANK OF NEVADA,2023,Q1,7/25/2008,7206.0,7218.0,6.0,433785.5,14249.0,-517456.25,7218.0,2754633,100,2754633.0,100,1942703.125,74.0,433786.875,26.0,13747.875,100,14249.0,100,14249.0,100
10526,FIRST NBC BANK,2023,Q1,4/28/2017,11981.25,12142.125,200.625,433785.5,10663.0,-517456.25,12142.125,2957803,100,2957803.0,100,1942703.125,73.0,433786.875,27.0,10663.0,100,10663.0,100,10663.0,100
10100,COMMUNITY BANK OF NEVADA,2023,Q1,8/14/2009,2041.0,2041.0,194.0,433785.5,6578.0,-517456.25,2041.0,1403377,100,1408128.0,100,846358.0,60.0,433786.875,40.0,6578.0,100,6578.0,100,6578.0,100
10021,"FRANKLIN BANK, SSB",2023,Q1,11-07-2008,11981.25,12142.125,3.0,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,82.0,433786.875,18.0,7875.0,100,16027.25,100,15887.25,100
10103,COLONIAL BANK,2023,Q1,8/14/2009,11981.25,12142.125,200.625,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,87.0,433786.875,13.0,13747.875,100,16027.25,100,15887.25,100
10007,INDYMAC FEDERAL BANK FSB,2023,Q1,07-11-2008,11981.25,12142.125,200.625,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,30.0,433786.875,70.0,13747.875,100,16027.25,100,15887.25,100
10120,IRWIN UNION BANK & TRUST CO.,2023,Q1,9/18/2009,1873.0,1873.0,2.0,433785.5,14858.0,-517456.25,1873.0,2073138,100,2073138.0,100,1315255.0,63.0,433786.875,37.0,13747.875,100,14858.0,100,14858.0,100
10230,R-G PREMIER BK OF PUERTO RICO,2023,Q1,4/30/2010,11981.25,12142.125,200.625,433785.5,9595.0,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,76.0,433786.875,24.0,9595.0,100,9595.0,100,9595.0,100
10513,DORAL BANK,2023,Q1,2/27/2015,11981.25,12142.125,78.0,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,81.0,433786.875,19.0,13747.875,100,16027.25,100,15887.25,100
10231,WESTERNBANK PUERTO RICO,2023,Q1,4/30/2010,11981.25,12142.125,200.625,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,73.0,433786.875,27.0,13747.875,100,16027.25,100,15887.25,100
10015,WASHINGTON MUTUAL BANK,2023,Q1,9/25/2008,11981.25,12142.125,200.625,0.0,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,100.0,0.0,0.0,13747.875,100,16027.25,100,15887.25,100
10059,"SILVERTON BANK, NA",2023,Q1,05-01-2009,11981.25,12142.125,200.625,433785.5,15887.25,-517456.25,12142.125,2963765,100,2963765.0,100,1942703.125,78.0,433786.875,22.0,5830.0,100,16027.25,100,15887.25,100
10013,SILVER STATE BANK,2023,Q1,09-05-2008,5036.0,5036.0,200.625,433785.5,7697.0,-517456.25,5036.0,1450531,100,1457903.0,100,727074.0,50.0,433786.875,50.0,7697.0,100,7697.0,100,7697.0,100
10147,UNITED COMMERCIAL BANK,2023,Q1,11-06-2009,11981.25,12142.125,200.625,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,92.0,433786.875,8.0,13747.875,100,16027.25,100,15887.25,100
10155,AMTRUST BANK,2023,Q1,12-04-2009,11981.25,12142.125,200.625,433785.5,15887.25,-517456.25,12142.125,3343117,100,3352742.625,100,1942703.125,79.0,433786.875,21.0,13747.875,100,16027.25,100,15887.25,100
10180,COMMUNITY BANK & TRUST,2023,Q1,1/29/2010,3779.0,3779.0,1.0,433785.5,2253.0,-479563.0,3779.0,1020390,100,1020390.0,100,539302.0,53.0,433786.875,47.0,2253.0,100,2253.0,100,2253.0,100
10140,PARK NATIONAL BANK,2023,Q1,10/30/2009,11981.25,12142.125,200.625,19960.0,15887.25,-379713.0,12142.125,3343117,100,3352742.625,100,1942703.125,99.0,19960.0,1.0,13747.875,100,16027.25,100,15887.25,100
10358,SUPERIOR BANK,2023,Q1,4/15/2011,9362.0,9367.0,200.625,293391.0,15887.25,-341028.0,9367.0,2746571,100,2746571.0,100,1942703.125,89.0,293390.0,11.0,13747.875,100,16027.25,100,15887.25,100
10297,PREMIER BANK,2023,Q1,10/15/2010,1274.0,1274.0,1.0,310083.0,1585.0,-310395.0,1274.0,855513,100,855513.0,100,545429.0,64.0,310084.0,36.0,1585.0,100,1585.0,100,1585.0,100
10265,CRESCENT BANK AND TRUST CO.,2023,Q1,7/23/2010,1100.0,1100.0,2.0,304923.0,1946.0,-305771.0,1100.0,918107,100,918107.0,100,613184.0,67.0,304923.0,33.0,1946.0,100,1946.0,100,1946.0,100
10048,OMNI NATIONAL BANK,2023,Q1,3/27/2009,2976.0,2976.0,30.0,294726.0,6205.0,-298204.0,2976.0,783486,100,784068.0,100,489124.0,62.0,294944.0,38.0,4205.0,100,6205.0,100,6205.0,100
10161,IMPERIAL CAPITAL BANK,2023,Q1,12/18/2009,11981.25,12142.125,200.625,284260.0,8252.0,-283599.0,12142.125,2763663,100,2763663.0,100,1942703.125,90.0,284260.0,10.0,8252.0,100,8252.0,100,8252.0,100
10027,HAVEN TRUST BANK,2023,Q1,12-12-2008,2348.0,2348.0,0.0,249021.0,925.0,-247598.0,2348.0,506359,100,506359.0,100,257338.0,51.0,249021.0,49.0,925.0,100,925.0,100,925.0,100
10396,BANK OF THE COMMONWEALTH,2023,Q1,9/23/2011,5166.0,5166.0,9.0,244078.0,1673.0,-240594.0,5166.0,861854,100,861854.0,100,617776.0,72.0,244078.0,28.0,1673.0,100,1673.0,100,1673.0,100
10333,FIRST COMMUNITY BANK,2023,Q1,1/28/2011,2021.0,2021.0,3.0,232802.0,6687.0,-237471.0,2021.0,1812066,100,1812066.0,100,1579263.0,87.0,232803.0,13.0,6687.0,100,6687.0,100,6687.0,100
10334,FIRSTIER BANK,2023,Q1,1/28/2011,5997.0,6163.0,3.0,240028.0,1205.0,-235150.0,6163.0,711418,100,711435.0,100,471476.0,66.0,239959.0,34.0,1205.0,100,1205.0,100,1205.0,100
10363,THE PARK AVENUE BANK,2023,Q1,4/29/2011,2539.0,2539.0,0.0,214675.0,15887.25,-233907.0,2539.0,690738,100,690738.0,100,476062.0,69.0,214676.0,31.0,13747.875,100,16027.25,100,15887.25,100
10125,WARREN BANK,2023,Q1,10-02-2009,2186.0,2186.0,1.0,219900.0,1173.0,-218888.0,2186.0,469033,100,469033.0,100,249133.0,53.0,219900.0,47.0,1173.0,100,1173.0,100,1173.0,100
10392,LYDIAN PRIVATE BANK,2023,Q1,8/19/2011,7898.0,8097.0,200.625,194551.0,15887.25,-212370.0,8097.0,1273571,100,1273571.0,100,1079019.0,85.0,194552.0,15.0,5502.0,100,16027.25,100,15887.25,100
10134,CALIFORNIA NATIONAL BANK,2023,Q1,10/30/2009,10125.0,10125.0,200.625,195180.0,15887.25,-210837.0,10125.0,3343117,100,3352742.625,100,1942703.125,97.0,195181.0,3.0,13747.875,100,16027.25,100,15887.25,100
10374,FIRST CHICAGO BANK & TRUST,2023,Q1,07-08-2011,1625.0,1625.0,0.0,194606.0,1380.0,-194361.0,1625.0,831095,100,831095.0,100,636488.0,77.0,194607.0,23.0,1380.0,100,1380.0,100,1380.0,100
10224,WHEATLAND BANK,2023,Q1,4/23/2010,1016.0,1016.0,0.0,190710.0,842.0,-190536.0,1016.0,445246,100,445246.0,100,254535.0,57.0,190711.0,43.0,842.0,100,842.0,100,842.0,100
10029,BANK OF CLARK COUNTY,2023,Q1,1/16/2009,2520.0,2520.0,72.0,153157.0,779.0,-161585.0,2520.0,316017,100,336851.0,100,173597.0,52.0,163254.0,48.0,779.0,100,779.0,100,779.0,100
10036,FIRSTBANK FINANCIAL SERVICES,2023,Q1,02-06-2009,1307.0,1307.0,0.0,152663.0,552.0,-151908.0,1307.0,279081,100,279081.0,100,126419.0,45.0,152662.0,55.0,552.0,100,552.0,100,552.0,100
10331,UNITED WESTERN BANK,2023,Q1,1/21/2011,8407.0,8407.0,200.625,144334.0,4183.0,-145456.0,8407.0,1623354,100,1623354.0,100,1479020.0,91.0,144334.0,9.0,4183.0,100,4183.0,100,4183.0,100
10308,K BANK,2023,Q1,11-05-2010,1070.0,1070.0,0.0,137508.0,1310.0,-137748.0,1070.0,498567,100,498567.0,100,361058.0,72.0,137509.0,28.0,1310.0,100,1310.0,100,1310.0,100
10380,BANK OF CHOICE,2023,Q1,7/22/2011,1144.0,1144.0,1.0,136766.0,860.0,-136483.0,1144.0,810294,100,810294.0,100,673528.0,83.0,136766.0,17.0,860.0,100,860.0,100,860.0,100
10047,FIRSTCITY BANK,2023,Q1,3/20/2009,3090.0,3090.0,0.0,138411.0,553.0,-135875.0,3090.0,271772,100,271775.0,100,133362.0,49.0,138413.0,51.0,553.0,100,553.0,100,553.0,100
10366,FIRST GEORGIA BANKING CO.,2023,Q1,5/20/2011,3336.0,3336.0,3.0,138065.0,27.0,-134759.0,3336.0,669746,100,669746.0,100,531681.0,79.0,138065.0,21.0,27.0,100,27.0,100,27.0,100
10486,COMMUNITY SOUTH BANK,2023,Q1,8/23/2013,1115.0,1121.0,2.0,130913.0,1334.0,-131128.0,1121.0,362430,100,362430.0,100,231517.0,64.0,130913.0,36.0,1334.0,100,1334.0,100,1334.0,100
10296,WAKULLA BANK,2023,Q1,10-01-2010,1018.0,1018.0,0.0,120969.0,458.0,-120409.0,1018.0,369803,100,369803.0,100,248833.0,67.0,120970.0,33.0,458.0,100,458.0,100,458.0,100
10057,AMERICA WEST BANK,2023,Q1,05-01-2009,1006.0,1006.0,1.0,115386.0,1097.0,-115478.0,1006.0,300153,100,300153.0,100,184767.0,62.0,115386.0,38.0,1097.0,100,1097.0,100,1097.0,100
10205,DESERT HILLS BANK,2023,Q1,3/26/2010,1088.0,1088.0,0.0,109979.0,1690.0,-110581.0,1088.0,410763,100,410763.0,100,300785.0,73.0,109978.0,27.0,1690.0,100,1690.0,100,1690.0,100
10055,"FIRST BANK OF IDAHO, FSB",2023,Q1,4/24/2009,4194.0,4194.0,0.0,113575.0,483.0,-109864.0,4194.0,339398,100,339398.0,100,225823.0,67.0,113575.0,33.0,483.0,100,483.0,100,483.0,100
10171,BARNES BANKING COMPANY,2023,Q1,1/15/2010,6129.0,6129.0,81.0,113450.0,1579.0,-109238.0,6129.0,651845,100,653324.0,100,539617.0,83.0,113707.0,17.0,1579.0,100,1579.0,100,1579.0,100
10387,BANK OF WHITMAN,2023,Q1,08-05-2011,4400.0,4400.0,2.0,105533.0,884.0,-102019.0,4400.0,494249,100,494249.0,100,388716.0,79.0,105533.0,21.0,884.0,100,884.0,100,884.0,100
10164,ROCKBRIDGE COMMERCIAL BANK,2023,Q1,12/18/2009,1315.0,1315.0,8.0,100272.0,872.0,-99878.0,1315.0,262817,100,262924.0,100,162611.0,62.0,100313.0,38.0,872.0,100,872.0,100,872.0,100
10032,OCALA NATIONAL BANK,2023,Q1,1/30/2009,2315.0,2315.0,0.0,95982.0,654.0,-94321.0,2315.0,195962,100,195962.0,100,99980.0,51.0,95982.0,49.0,654.0,100,654.0,100,654.0,100
10463,NOVA BANK,2023,Q1,10/26/2012,1097.0,1097.0,164.0,87078.0,892.0,-88824.0,1097.0,376007,100,382234.0,100,293713.0,77.0,88521.0,23.0,892.0,100,892.0,100,892.0,100
10384,"INTEGRA BANK, NA",2023,Q1,7/29/2011,8485.0,8485.0,200.625,37459.0,15887.25,-88677.0,8485.0,2213963,100,2213963.0,100,1942703.125,98.0,37459.0,2.0,13747.875,100,16027.25,100,15887.25,100
10315,FIRST BANKING CENTER,2023,Q1,11/19/2010,5499.0,5499.0,0.0,92148.0,1620.0,-88269.0,5499.0,676743,100,676743.0,100,584596.0,86.0,92147.0,14.0,1620.0,100,1620.0,100,1620.0,100
10025,FIRST GEORGIA COMMUNITY BANK,2023,Q1,12-05-2008,2215.0,2215.0,1.0,88595.0,1398.0,-87779.0,2215.0,184198,100,184198.0,100,95602.0,52.0,88596.0,48.0,1398.0,100,1398.0,100,1398.0,100
10060,WESTSOUND BANK,2023,Q1,05-08-2009,1303.0,1303.0,0.0,82406.0,504.0,-81607.0,1303.0,282704,100,282704.0,100,200298.0,71.0,82406.0,29.0,504.0,100,504.0,100,504.0,100
10195,THE PARK AVENUE BANK,2023,Q1,03-12-2010,1595.0,1595.0,3.0,78002.0,3375.0,-79785.0,1595.0,477584,100,477584.0,100,399582.0,84.0,78002.0,16.0,3375.0,100,3375.0,100,3375.0,100
10139,PACIFIC NATIONAL BANK,2023,Q1,10/30/2009,5686.0,5686.0,200.625,66559.0,13159.0,-79434.0,5686.0,1793769,100,1793769.0,100,1727210.0,96.0,66559.0,4.0,13159.0,100,13159.0,100,13159.0,100
10251,FIRST NATIONAL BANK,2023,Q1,6/25/2010,1162.0,1162.0,0.0,79349.0,955.0,-79142.0,1162.0,211261,100,211261.0,100,131912.0,62.0,79349.0,38.0,955.0,100,955.0,100,955.0,100
10218,"AMCORE BANK, NA",2023,Q1,4/23/2010,11981.25,12142.125,200.625,28364.0,15887.25,-77756.0,12142.125,2774841,100,2774841.0,100,1942703.125,99.0,28364.0,1.0,7842.0,100,16027.25,100,15887.25,100
10530,WASHINGTON FED BNK FOR SAVINGS,2023,Q1,12/15/2017,5563.0,5925.0,14.0,81535.0,87.0,-77099.0,5925.0,139765,100,142144.0,100,59221.0,42.0,82923.0,58.0,87.0,100,87.0,100,87.0,100
