Fund Code,Receivership,Year,Quarter,Failure Date,Cash and Investments,Total Assets,Administrative Liabilities,FDIC Subrogated Deposit Claim,Other Claimant Liabilities,Net Worth (Deficit),Total Liabilities and Net Worth,FDIC Subrogated Claim,FDIC Subrogated Claim %,Subtotal - Proven Deposit Claims,Subtotal - Proven Deposit Claims %,Dividends Paid to Date,Dividends Paid to Date %,Total Unpaid Deposit Claims,Total Unpaid Deposit Claims %,General Creditor,General Creditor %,Subtotal- Other Claimants,Subtotal- Other Claimants %,Total Unpaid Other Claimants,Total Unpaid Other Claimants %
10507,NATIONAL REPUBLIC BK - CHICAGO,2023,Q1,10/24/2014,80.0,80.0,137.0,57658.0,15887.25,-74509.0,80.0,793598,100,793598.0,100,735940.0,93.0,57658.0,7.0,1794.0,100,16027.25,100,15887.25,100
10465,HERITAGE BANK OF FLORIDA,2023,Q1,11-02-2012,1116.0,1116.0,0.0,74982.0,300.0,-74166.0,1116.0,219588,100,219588.0,100,144606.0,66.0,74982.0,34.0,300.0,100,300.0,100,300.0,100
10068,COMMUNITY BANK OF WEST GEORGIA,2023,Q1,6/26/2009,4200.0,4200.0,0.0,76081.0,513.0,-72396.0,4200.0,188358,100,188364.0,100,112280.0,60.0,76084.0,40.0,513.0,100,513.0,100,513.0,100
10064,BANK OF LINCOLNWOOD,2023,Q1,06-05-2009,3013.0,3013.0,0.0,74049.0,513.0,-71549.0,3013.0,203223,100,203223.0,100,129174.0,64.0,74049.0,36.0,513.0,100,513.0,100,513.0,100
10193,CENTENNIAL BANK,2023,Q1,03-05-2010,1195.0,1195.0,4.0,71828.0,583.0,-71429.0,1195.0,204239,100,204832.0,100,132795.0,65.0,72037.0,35.0,583.0,100,583.0,100,583.0,100
10431,PREMIER BANK,2023,Q1,3/23/2012,2569.0,2569.0,0.0,72035.0,469.0,-69935.0,2569.0,194722,100,194722.0,100,122687.0,63.0,72035.0,37.0,469.0,100,469.0,100,469.0,100
10402,COUNTRY BANK,2023,Q1,10/14/2011,5045.0,5045.0,0.0,74484.0,294.0,-69733.0,5045.0,178694,100,178694.0,100,104210.0,58.0,74484.0,42.0,294.0,100,294.0,100,294.0,100
10162,CITIZENS STATE BANK,2023,Q1,12/18/2009,3428.0,3428.0,7.0,71940.0,825.0,-69366.0,3428.0,153586,100,153634.0,100,81671.0,53.0,71963.0,47.0,825.0,100,825.0,100,825.0,100
10276,RAVENSWOOD BANK,2023,Q1,08-06-2010,5411.0,5411.0,0.0,73717.0,567.0,-68873.0,5411.0,265043,100,265043.0,100,191326.0,72.0,73717.0,28.0,567.0,100,567.0,100,567.0,100
10448,MONTGOMERY BANK & TRUST,2023,Q1,07-06-2012,4722.0,4722.0,1.0,70716.0,367.0,-66362.0,4722.0,162999,100,162999.0,100,92282.0,57.0,70717.0,43.0,367.0,100,367.0,100,367.0,100
